project_id,project_type,project_type_name,total_duration_months,month,progress_pct,is_completion_phase,mat_index,lab_index,cpi_index,material_cost,labour_cost,equip_cost,admin_cost,total_cost
P001,residential,Residential Building,20,1,5.253264020836831,False,0.9971999999999999,1.004,1.003,698394.684642541,534372.3165588905,154450.9383346829,130205.46278289804,1472463.364858953
P001,residential,Residential Building,20,2,7.094317337318022,False,0.994713708024795,1.0081677853116267,0.996276413046969,244148.40753011344,188052.967846757,54128.71143099397,45631.667879170636,541285.5112929847
P001,residential,Residential Building,20,3,9.518630686433486,False,1.007044671581311,1.0128735270298166,1.000254198152539,325481.9550540375,248785.4533551695,71277.10887992533,60088.13573814113,706472.3092052407
P001,residential,Residential Building,20,4,12.663561966450956,False,0.9916167219630665,1.0176182454356975,0.9996491563586059,415761.65169746615,324247.81280249846,92463.95864935356,77949.10575803429,875271.8996016377
P001,residential,Residential Building,20,5,16.665036906959273,False,1.0030015879496572,1.022416941843446,0.9987227069271287,535070.6743998855,414504.40365617,117647.15362350631,99179.08073465891,1166533.490929214
P001,residential,Residential Building,20,6,21.632699307322717,False,1.009878403763244,1.0270130727820792,1.0022685360267147,668822.0549793502,516903.0033719262,146053.98015838437,123126.64644741919,1472708.1036071992
P001,residential,Residential Building,20,7,27.614995454460967,False,0.9841891799815685,1.0316683471900396,1.009766841762679,784939.0256401688,625300.8580905553,175885.17341914878,148274.9839438686,1767842.637433341
P001,residential,Residential Building,20,8,34.56071116969099,False,0.9907053254667757,1.0362149495352402,1.0104499090732522,917383.5083392829,729202.0275409656,204210.6213143158,172153.9457131471,2010053.5092079933
P001,residential,Residential Building,20,9,42.29103048867521,False,0.9868628475185233,1.0407847752498691,1.015333444296206,1017053.176244967,815153.4568024576,227278.71047563426,191600.84100010278,2313509.1352273975
P001,residential,Residential Building,20,10,50.49987895870619,False,0.9775566201612158,1.045056672562711,1.019526302773026,1069827.0813951306,869166.7250236135,241347.92080020814,203461.48788935324,2244354.732856525
P001,residential,Residential Building,20,11,58.793416341977434,False,0.9234592638160916,1.049465103802534,1.0135497393266175,1021049.9212361481,881838.0192564899,243837.8550705249,205560.55603009232,2378396.5968729276
P001,residential,Residential Building,20,12,66.76147517874577,False,0.9360792549644593,1.0537778491386445,1.0114782488455978,994385.0359867476,850712.0954109357,234268.47749578513,197493.36492657615,2256118.3056144714
P001,residential,Residential Building,20,13,74.05533336924542,False,0.895036556970842,1.0583321492749866,1.0128890557676262,870337.1400558702,782096.4497630168,214446.3398630646,180782.87658870695,1931418.8686809486
P001,residential,Residential Building,20,14,80.44227382861402,False,0.893932072369112,1.0627943431708793,1.016591550521442,761179.0276785027,687738.1432805231,187782.09949556054,158304.34849273565,1817029.2558850225
P001,residential,Residential Building,20,15,85.8213673417296,False,0.8764279366686298,1.0673447111249028,1.0184912739272944,628513.678951567,581694.2982246683,158150.44459889203,133324.22612867833,1458374.5070651623
P001,residential,Residential Building,20,16,90.20498251369077,False,0.8656996667631446,1.0716339532370942,1.0175347866851645,505928.44658367994,475948.4278803452,128882.43840820725,108650.66744473549,1212641.7385258374
P001,residential,Residential Building,20,17,93.68252727259278,False,0.8559147488905685,1.0764702990806816,1.0224544715553836,396819.18951282365,379276.3738765441,102243.10999463436,86193.14066170804,953689.6303554215
P001,residential,Residential Building,20,18,96.38287195833699,False,0.8789353752168136,1.0812553125746727,1.0265740632140492,316421.2010763558,295820.63681677106,79392.69164579864,66929.746551108,717581.656793858
P001,residential,Residential Building,20,19,98.44507652604673,True,0.8646042318185849,1.0861727058485062,1.0315231517460117,83196.79053165285,170205.23096720938,18189.2303103834,40890.4329234731,311589.06625030976
P001,residential,Residential Building,20,20,100.0,True,0.8434754431599014,1.0909410996005036,1.0292116841141128,0.0,51559.96195308511,0.0,19269.879613420304,70373.72552244028
P002,commercial,Commercial Building,25,1,1.076012537034149,False,0.9971999999999999,1.004,1.003,206906.14643791917,160722.29402727043,62816.728746968736,32050.938065428916,467840.89760817774
P002,commercial,Commercial Building,25,2,1.590163847725767,False,0.9976243017254194,1.0084708949374548,0.9991318191813021,98908.07693088891,77139.95732426058,30015.731515207073,15314.90688822073,218834.77314669505
P002,commercial,Commercial Building,25,3,2.3442109429382962,False,0.9796651737874931,1.0128753367655037,0.999409126022891,142445.89283670578,113626.47812768858,44020.65051487583,22460.627469720966,327096.5293514414
P002,commercial,Commercial Building,25,4,3.443399409858975,False,0.9754306051438183,1.0174481689528738,1.009808322539212,206748.48304764106,166383.22416696436,64169.72051150122,32741.274160814315,469756.5568774547
P002,commercial,Commercial Building,25,5,5.031623491009063,False,0.9866936430070701,1.0216184787441582,1.0118341232008687,302181.5174052811,241393.51276222724,92719.21828160122,47308.06557261211,682681.7954195251
P002,commercial,Commercial Building,25,6,7.297427428874785,False,1.0051906188222979,1.0261561592629322,1.0051236364338125,439182.01291263336,345908.2034731989,132275.77417548953,67490.98098903883,1036291.5120208754
P002,commercial,Commercial Building,25,7,10.47186082500472,False,0.980209610427999,1.0306890709820629,1.0016965805761242,600010.6603159172,486764.5799157861,185320.81616785505,94556.1177685058,1323971.1896004137
P002,commercial,Commercial Building,25,8,14.808251234474914,False,0.9951137306792233,1.0349132713683014,1.0016564427835954,832098.7791749511,667663.1540698651,253154.91290042558,129167.06419103575,1890947.182083641
P002,commercial,Commercial Building,25,9,20.531696173541114,False,0.9809968775523539,1.0394129507720367,1.0026118806445132,1082677.0353732002,885055.9195397225,334130.01787740533,170482.93858037225,2533511.035359036
P002,commercial,Commercial Building,25,10,27.75246554213623,False,0.9651299416450577,1.0443714970355378,0.9996724050990801,1343826.0445418211,1121924.3208627515,421542.5891055996,215083.39712796806,3360153.769592358
P002,commercial,Commercial Building,25,11,36.360828803416176,False,0.9667804681426135,1.048944517755557,1.0012450167575933,1604804.9083677595,1343377.8433778977,502549.18165700877,256415.33740163184,3745894.0040705693
P002,commercial,Commercial Building,25,12,45.957024115116425,False,0.9542625013391366,1.0533260376652904,1.000322782313583,1765796.80875426,1503789.252831192,560218.0059718736,285839.6635849819,4127099.283589721
P002,commercial,Commercial Building,25,13,55.885778750814495,False,0.9722509235443653,1.0577684000023722,1.004949410073485,1861430.9624279065,1562465.530879517,579632.5463502108,295745.5317135397,4163266.3281938224
P002,commercial,Commercial Building,25,14,65.39681004797926,False,0.9592380977343313,1.062217995663743,1.0146312451903037,1759251.057657801,1503025.4828240806,555246.2007038567,283302.90266321437,4053827.813270194
P002,commercial,Commercial Building,25,15,73.85845258896829,False,0.9822284465758071,1.0670625405179641,1.01556220739902,1602658.4338733137,1343289.5221538804,493983.74643124663,252045.00103740985,3735625.6226242166
P002,commercial,Commercial Building,25,16,80.90544897876573,False,0.9775200700054587,1.071656646112051,1.0140833483053961,1328322.4807180255,1123530.2993370763,411397.8652320528,209907.26135891755,3040285.7440662845
P002,commercial,Commercial Building,25,17,86.45860991209915,False,0.9937644113389896,1.0761767529013384,1.0157752165799816,1064136.8688535586,889096.5895730383,324188.9773877216,165410.72804989075,2449263.0545385354
